"AttributeName","Consistency","ValueIDS","Values","FusedValue","IsCorrect","CorrectValue"
"Genre","1.0","Genre-{jpntop_247}","{ACT}","ACT",,
"Sales","1.0","Sales-{jpntop_287|vga_games_json854}","{498973.0|560000.0}","529486.5",,
"ReleaseDate","0.0","ReleaseDate-{Game_List_ID_13939|vga_games_json1906|jpntop_886|Game_List_ID_1793}","{2011-01-01T00:00|2005-10-18T00:00|2005-10-27T00:00|2005-01-01T00:00}","2005-10-27T00:00",,
"GameTitle","0.0","GameTitle-{vga_games_json21|Game_List_ID_157|Game_List_ID_38|vga_games_json19|Game_List_ID_17|jpntop_855|jpntop_157|Game_List_ID_24|Game_List_ID_1644}","{Grand Theft Auto V|Grand Theft Auto V|Grand Theft Auto V|Grand Theft Auto V|Grand Theft Auto V|Grand Theft Auto V|Grand Theft Auto V|Grand Theft Auto V|Grand Theft Auto V}","Grand Theft Auto V",,
"Genre","0.0","Genre-{jpntop_660|Game_List_ID_2494}","{ACT|Action}","ACT",,
"Publisher","0.6666666666666666","Publisher-{Game_List_ID_13461|vga_games_json14169|jpntop_746}","{Namco Bandai Games|Namco Bandai|Bandai Namco Games}","Namco Bandai",,
"Sales","0.0","Sales-{jpntop_939|vga_games_json6893}","{185031.0|180000.0}","182515.5",,
"Sales","1.0","Sales-{jpntop_476}","{332003.0}","332003.0",,
"GameTitle","0.0","GameTitle-{jpntop_70|vga_games_json89|Game_List_ID_83}","{Mario Party 8|Mario Party 8|Mario Party 8}","Mario Party 8",,
"Sales","1.0","Sales-{jpntop_463|vga_games_json1835}","{338889.0|360000.0}","349444.5",,
"Genre","0.0","Genre-{Game_List_ID_2825|jpntop_655}","{Role-Playing|RPG}","RPG",,
"ReleaseDate","0.0","ReleaseDate-{Game_List_ID_423|jpntop_147}","{2008-01-01T00:00|2008-11-27T00:00}","2008-11-27T00:00",,
"Sales","0.0","Sales-{vga_games_json4044|jpntop_832}","{240000.0|210042.0}","225021.0",,
"Publisher","1.0","Publisher-{vga_games_json4278|jpntop_924|Game_List_ID_4059}","{Square Enix|Square Enix|Square Enix}","Square Enix",,
"Publisher","1.0","Publisher-{jpntop_29|vga_games_json8|Game_List_ID_8}","{Nintendo|Nintendo|Nintendo}","Nintendo","true","Nintendo"
"Sales","0.0","Sales-{jpntop_242|vga_games_json493}","{562912.0|550000.0}","556456.0",,
