"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","0-GameTitleComparatorEqual-record1Value","0-GameTitleComparatorEqual-record2Value","0-GameTitleComparatorEqual-record1PreprocessedValue","0-GameTitleComparatorEqual-record2PreprocessedValue","0-GameTitleComparatorEqual-similarity","0-GameTitleComparatorEqual-postproccesedSimilarity","1-GameTitleComparatorJaccard-record1Value","1-GameTitleComparatorJaccard-record2Value","1-GameTitleComparatorJaccard-record1PreprocessedValue","1-GameTitleComparatorJaccard-record2PreprocessedValue","1-GameTitleComparatorJaccard-similarity","1-GameTitleComparatorJaccard-postproccesedSimilarity","2-GameTitleComparatorLevenshtein-record1Value","2-GameTitleComparatorLevenshtein-record2Value","2-GameTitleComparatorLevenshtein-record1PreprocessedValue","2-GameTitleComparatorLevenshtein-record2PreprocessedValue","2-GameTitleComparatorLevenshtein-similarity","2-GameTitleComparatorLevenshtein-postproccesedSimilarity","3-GamePlatformComparatorEqual-record1Value","3-GamePlatformComparatorEqual-record2Value","3-GamePlatformComparatorEqual-record1PreprocessedValue","3-GamePlatformComparatorEqual-record2PreprocessedValue","3-GamePlatformComparatorEqual-similarity","3-GamePlatformComparatorEqual-postproccesedSimilarity","4-GamePlatformComparatorJaccard-record1Value","4-GamePlatformComparatorJaccard-record2Value","4-GamePlatformComparatorJaccard-record1PreprocessedValue","4-GamePlatformComparatorJaccard-record2PreprocessedValue","4-GamePlatformComparatorJaccard-similarity","4-GamePlatformComparatorJaccard-postproccesedSimilarity","5-GamePlatformComparatorLevenshtein-record1Value","5-GamePlatformComparatorLevenshtein-record2Value","5-GamePlatformComparatorLevenshtein-record1PreprocessedValue","5-GamePlatformComparatorLevenshtein-record2PreprocessedValue","5-GamePlatformComparatorLevenshtein-similarity","5-GamePlatformComparatorLevenshtein-postproccesedSimilarity","6-GameReleaseDateComparator2Years-record1Value","6-GameReleaseDateComparator2Years-record2Value","6-GameReleaseDateComparator2Years-record1PreprocessedValue","6-GameReleaseDateComparator2Years-record2PreprocessedValue","6-GameReleaseDateComparator2Years-similarity","6-GameReleaseDateComparator2Years-postproccesedSimilarity","7-PublisherNameComparatorEqual-record1Value","7-PublisherNameComparatorEqual-record2Value","7-PublisherNameComparatorEqual-record1PreprocessedValue","7-PublisherNameComparatorEqual-record2PreprocessedValue","7-PublisherNameComparatorEqual-similarity","7-PublisherNameComparatorEqual-postproccesedSimilarity","8-PublisherNameComparatorJaccard-record1Value","8-PublisherNameComparatorJaccard-record2Value","8-PublisherNameComparatorJaccard-record1PreprocessedValue","8-PublisherNameComparatorJaccard-record2PreprocessedValue","8-PublisherNameComparatorJaccard-similarity","8-PublisherNameComparatorJaccard-postproccesedSimilarity","9-PublisherNameComparatorLevenshtein-record1Value","9-PublisherNameComparatorLevenshtein-record2Value","9-PublisherNameComparatorLevenshtein-record1PreprocessedValue","9-PublisherNameComparatorLevenshtein-record2PreprocessedValue","9-PublisherNameComparatorLevenshtein-similarity","9-PublisherNameComparatorLevenshtein-postproccesedSimilarity"
"WekaMatchingRule","jpntop_118","vga_games_json5369",,,"Dragon Quest Monsters: Terry no Wonderland 3D","Dragon Quest IV: Chapters of the Chosen","Dragon Quest Monsters: Terry no Wonderland 3D","Dragon Quest IV: Chapters of the Chosen","0.0","0.0","Dragon Quest Monsters: Terry no Wonderland 3D","Dragon Quest IV: Chapters of the Chosen","Dragon Quest Monsters: Terry no Wonderland 3D","Dragon Quest IV: Chapters of the Chosen","0.15384615384615385","0.15384615384615385","Cooking Navi","Prince of Persia: The Forgotten Sands","Cooking Navi","Prince of Persia: The Forgotten Sands","0.16216216216216217","0.16216216216216217","NDS","PSP","NDS","PSP","0.0","0.0","NDS","PSP","NDS","PSP","0.0","0.0","NDS","PSP","NDS","PSP","0.0","0.0","2006-07-20T00:00","2010-05-18T00:00","2006-07-20T00:00","2010-05-18T00:00","0.0","0.0","Nintendo","Ubisoft","Nintendo","Ubisoft","0.0","0.0","Nintendo","Ubisoft","Nintendo","Ubisoft","0.0","0.0","Nintendo","Ubisoft","Nintendo","Ubisoft","0.0","0.0"
"WekaMatchingRule","jpntop_146","vga_games_json2112",,,"Kirby's Return to Dream Land","Sonic & SEGA All-Stars Racing","Kirby's Return to Dream Land","Sonic & SEGA All-Stars Racing","0.0","0.0","Kirby's Return to Dream Land","Sonic & SEGA All-Stars Racing","Kirby's Return to Dream Land","Sonic & SEGA All-Stars Racing","0.0","0.0","Kirby's Return to Dream Land","Sonic & SEGA All-Stars Racing","Onimusha 2: Samurai's Destiny","Pirates of the Caribbean: At World's End","0.22499999999999998","0.22499999999999998","WII","DS","WII","DS","0.0","0.0","WII","DS","WII","DS","0.0","0.0","WII","DS","WII","DS","0.0","0.0","2011-10-27T00:00","2010-02-23T00:00","2011-10-27T00:00","2010-02-23T00:00","0.5","0.5","Nintendo","Sega","Nintendo","Sega","0.0","0.0","Nintendo","Sega","Nintendo","Sega","0.0","0.0","Nintendo","Sega","Nintendo","Sega","0.125","0.125"
"WekaMatchingRule","jpntop_138","vga_games_json378",,,"The Legend of Zelda: Majora's Mask","Battlefield 4","The Legend of Zelda: Majora's Mask","Battlefield 4","0.0","0.0","The Legend of Zelda: Majora's Mask","Battlefield 4","The Legend of Zelda: Majora's Mask","Battlefield 4","0.0","0.0","The Legend of Zelda: Majora's Mask","Battlefield 4","The Legend of Zelda: Majora's Mask","Battlefield 4","0.20588235294117652","0.20588235294117652","N64","PS3","N64","PS3","0.0","0.0","N64","PS3","N64","PS3","0.0","0.0","N64","PS3","N64","PS3","0.0","0.0","2000-04-27T00:00","2013-10-29T00:00","2000-04-27T00:00","2013-10-29T00:00","0.0","0.0","Nintendo","Electronic Arts","Nintendo","Electronic Arts","0.0","0.0","Nintendo","Electronic Arts","Nintendo","Electronic Arts","0.0","0.0","Nintendo","Electronic Arts","Nintendo","Electronic Arts","0.1333333333333333","0.1333333333333333"
"WekaMatchingRule","jpntop_186","vga_games_json2022",,,"Taiko no Tatsujin DS: Dokodon in Touch!","NFL Blitz 2000","Taiko no Tatsujin DS: Dokodon in Touch!","NFL Blitz 2000","0.0","0.0","Taiko no Tatsujin DS: Dokodon in Touch!","NFL Blitz 2000","Taiko no Tatsujin DS: Dokodon in Touch!","NFL Blitz 2000","0.0","0.0","Taiko no Tatsujin DS: Dokodon in Touch!","NFL Blitz 2000","Taiko no Tatsujin DS: Dokodon in Touch!","NFL Blitz 2000","0.07692307692307687","0.07692307692307687","NDS","PS","NDS","PS","0.0","0.0","NDS","PS","NDS","PS","0.0","0.0","NDS","PS","NDS","PS","0.33333333333333337","0.33333333333333337","2007-07-26T00:00","1999-08-17T00:00","2007-07-26T00:00","1999-08-17T00:00","0.0","0.0","Bandai Namco Games","Midway Games","Bandai Namco Games","Midway Games","0.0","0.0","Bandai Namco Games","Midway Games","Bandai Namco Games","Midway Games","0.25","0.25","Bandai Namco Games","Midway Games","Bandai Namco Games","Midway Games","0.4444444444444444","0.4444444444444444"
"WekaMatchingRule","jpntop_147","vga_games_json5007",,,"Professor Layton and the Unwound Future","UEFA Euro 2008 Austria-Switzerland","Professor Layton and the Unwound Future","UEFA Euro 2008 Austria-Switzerland","0.0","0.0","Professor Layton and the Unwound Future","UEFA Euro 2008 Austria-Switzerland","Professor Layton and the Unwound Future","UEFA Euro 2008 Austria-Switzerland","0.0","0.0","Professor Layton and the Unwound Future","UEFA Euro 2008 Austria-Switzerland","Professor Layton and the Unwound Future","UEFA Euro 2008 Austria-Switzerland","0.15384615384615385","0.15384615384615385","NDS","PS3","NDS","PS3","0.0","0.0","NDS","PS3","NDS","PS3","0.0","0.0","NDS","PS3","NDS","PS3","0.0","0.0","2008-11-27T00:00","2008-05-19T00:00","2008-11-27T00:00","2008-05-19T00:00","1.0","1.0","Level 5","Electronic Arts","Level 5","Electronic Arts","0.0","0.0","Level 5","Electronic Arts","Level 5","Electronic Arts","0.0","0.0","Level 5","Electronic Arts","Level 5","Electronic Arts","0.19999999999999996","0.19999999999999996"
"WekaMatchingRule","jpntop_139","vga_games_json5560",,,"Dragon Quest VIII: Journey of the Cursed King","Call of Duty: Ghosts","Dragon Quest VIII: Journey of the Cursed King","Call of Duty: Ghosts","0.0","0.0","Dragon Quest VIII: Journey of the Cursed King","Call of Duty: Ghosts","Dragon Quest VIII: Journey of the Cursed King","Call of Duty: Ghosts","0.09090909090909091","0.09090909090909091","Dragon Quest VIII: Journey of the Cursed King","Call of Duty: Ghosts","Dragon Quest VIII: Journey of the Cursed King","Call of Duty: Ghosts","0.1777777777777778","0.1777777777777778","3DS","WiiU","3DS","WiiU","0.0","0.0","3DS","WiiU","3DS","WiiU","0.0","0.0","3DS","WiiU","3DS","WiiU","0.0","0.0","2015-08-27T00:00","2013-11-05T00:00","2015-08-27T00:00","2013-11-05T00:00","0.0","0.0","Square Enix","Activision","Square Enix","Activision","0.0","0.0","Nintendo","Disney Interactive Studios","Nintendo","Disney Interactive Studios","0.0","0.0","Nintendo","Disney Interactive Studios","Nintendo","Disney Interactive Studios","0.2692307692307693","0.2692307692307693"
"WekaMatchingRule","jpntop_138","vga_games_json3758",,,"The Legend of Zelda: Majora's Mask","Bob the Builder: Can We Fix It?","The Legend of Zelda: Majora's Mask","Bob the Builder: Can We Fix It?","0.0","0.0","The Legend of Zelda: Majora's Mask","Bob the Builder: Can We Fix It?","The Legend of Zelda: Majora's Mask","Bob the Builder: Can We Fix It?","0.07692307692307693","0.07692307692307693","The Legend of Zelda: Majora's Mask","Bob the Builder: Can We Fix It?","The Legend of Zelda: Majora's Mask","Bob the Builder: Can We Fix It?","0.17647058823529416","0.17647058823529416","N64","PS","N64","PS","0.0","0.0","N64","PS","N64","PS","0.0","0.0","N64","PS","N64","PS","0.0","0.0","2000-04-27T00:00","2001-08-31T00:00","2000-04-27T00:00","2001-08-31T00:00","0.5","0.5","Nintendo","THQ","Nintendo","THQ","0.0","0.0","Nintendo","THQ","Nintendo","THQ","0.0","0.0","Nintendo","THQ","Nintendo","THQ","0.125","0.125"
"WekaMatchingRule","jpntop_170","vga_games_json76",,,"Pokemon Ranger","Final Fantasy VII","Pokemon Ranger","Final Fantasy VII","0.0","0.0","Pokemon Ranger","Final Fantasy VII","Pokemon Ranger","Final Fantasy VII","0.0","0.0","Pokemon Ranger","Final Fantasy VII","Pokemon Ranger","Final Fantasy VII","0.05882352941176472","0.05882352941176472","NDS","PS","NDS","PS","0.0","0.0","NDS","PS","NDS","PS","0.0","0.0","PS2","X360","PS2","X360","0.0","0.0","2006-03-23T00:00","1997-09-03T00:00","2006-03-23T00:00","1997-09-03T00:00","0.0","0.0","Pokemon Co.","Sony Computer Entertainment","Pokemon Co.","Sony Computer Entertainment","0.0","0.0","Pokemon Co.","Sony Computer Entertainment","Pokemon Co.","Sony Computer Entertainment","0.0","0.0","Pokemon Co.","Sony Computer Entertainment","Pokemon Co.","Sony Computer Entertainment","0.11111111111111116","0.11111111111111116"
"WekaMatchingRule","jpntop_111","vga_games_json2028",,,"Professor Layton and the Curious Village","Dante's Inferno","Professor Layton and the Curious Village","Dante's Inferno","0.0","0.0","Professor Layton and the Curious Village","Dante's Inferno","Professor Layton and the Curious Village","Dante's Inferno","0.0","0.0","Professor Layton and the Curious Village","Dante's Inferno","Professor Layton and the Curious Village","Dante's Inferno","0.17500000000000004","0.17500000000000004","NDS","PS3","NDS","PS3","0.0","0.0","NDS","PS3","NDS","PS3","0.0","0.0","NDS","PS3","NDS","PS3","0.0","0.0","2006-07-20T00:00","2010-11-16T00:00","2006-07-20T00:00","2010-11-16T00:00","0.0","0.0","Level 5","Electronic Arts","Level 5","Electronic Arts","0.0","0.0","Level 5","Electronic Arts","Level 5","Electronic Arts","0.0","0.0","Level 5","Electronic Arts","Level 5","Electronic Arts","0.19999999999999996","0.19999999999999996"
"WekaMatchingRule","jpntop_152","vga_games_json5074",,,"Mario Kart: Double Dash!!","Wall-E","Mario Kart: Double Dash!!","Wall-E","0.0","0.0","Mario Kart: Double Dash!!","Wall-E","Mario Kart: Double Dash!!","Wall-E","0.0","0.0","Mario Kart: Double Dash!!","Wall-E","Mario Kart: Double Dash!!","Wall-E","0.07999999999999996","0.07999999999999996","GCN","PS3","GCN","PS3","0.0","0.0","GCN","PS3","GCN","PS3","0.0","0.0","GCN","PS3","GCN","PS3","0.0","0.0","2003-07-11T00:00","2008-06-24T00:00","2003-07-11T00:00","2008-06-24T00:00","0.0","0.0","Nintendo","THQ","Nintendo","THQ","0.0","0.0","Nintendo","THQ","Nintendo","THQ","0.0","0.0","Nintendo","THQ","Nintendo","THQ","0.125","0.125"
